,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
226,2020,2,La Pampa,8551,54422,14232,11314,129,89809
227,2020,2,La Rioja,16885,34984,1,2500,350,52155
228,2020,2,Mendoza,91904,62941,29613,15924,8020,201184
229,2020,2,Misiones,50792,74497,2579,3319,9153,140340
230,2020,2,Neuquén,30256,67990,11037,15755,1134,126172
231,2020,2,Río Negro,49756,39650,10382,11331,18367,129486
232,2020,2,Salta,59502,81740,24289,5123,7108,177762
233,2020,2,San Juan,40092,8275,5509,7019,8882,69777
234,2020,2,San Luis,8401,8357,6,60935,36253,113952
235,2020,2,Santa Cruz,12845,16044,1027,6585,2368,38869
236,2020,2,Santa Fe,299974,381679,46698,30487,19094,777932
237,2020,2,Santiago Del Estero,25917,72074,355,3038,4063,105447
238,2020,2,Tierra Del Fuego,12854,26025,0,0,3100,39189
239,2020,2,Tucumán,150084,9833,55120,1357,7620,217156
240,2020,1,Buenos Aires,673237,2210349,720688,85443,18334,3708051
241,2020,1,Capital Federal,184494,1097635,38898,3911,28556,1353494
242,2020,1,Catamarca,21945,3146,12056,2610,2227,39635
243,2020,1,Chaco,46356,54144,11958,6239,158,120277
244,2020,1,Chubut,45763,27287,1324,16885,5479,96738
245,2020,1,Córdoba,286168,406109,68512,41617,8693,811099
246,2020,1,Corrientes,51126,53231,2172,2437,5004,113970
247,2020,1,Entre Ríos,90368,95434,13245,18737,14062,231846
248,2020,1,Formosa,21068,8887,1800,1451,1690,46434
249,2020,1,Jujuy,32066,38938,3078,9420,16641,91665
250,2020,1,La Pampa,8553,53755,13821,11295,1802,89226
251,2020,1,La Rioja,13076,34984,0,2510,290,48340
252,2020,1,Mendoza,91955,50251,28059,12465,7220,183452
253,2020,1,Misiones,51458,69452,1220,4600,10962,133552
254,2020,1,Neuquén,29305,65951,11031,14711,7290,121727
255,2020,1,Río Negro,47756,38479,10381,11222,18362,126200
256,2020,1,Salta,60426,75593,23025,4125,7212,170381
257,2020,1,San Juan,40092,6448,5508,7082,5101,64231
258,2020,1,San Luis,8301,7612,5,58301,36333,110552
259,2020,1,Santa Cruz,12845,15766,1026,6817,2368,38822
260,2020,1,Santa Fe,302366,383673,35123,30488,19468,771118
261,2020,1,Santiago Del Estero,24695,70424,200,2779,4657,102755
262,2020,1,Tierra Del Fuego,12854,25632,0,0,3080,38794
263,2020,1,Tucumán,143184,10494,44687,1355,3470,200067
264,2019,4,Buenos Aires,720011,2191672,669194,87111,18266,3686254
265,2019,4,Capital Federal,196938,1093143,35534,3914,28576,1358105
266,2019,4,Catamarca,22999,3318,9506,2610,2227,38311
267,2019,4,Chaco,48661,53602,8831,5229,158,117903
268,2019,4,Chubut,47045,26977,1324,15267,5489,96102
269,2019,4,Córdoba,296872,410038,53335,3775,8693,806688
270,2019,4,Corrientes,52525,51845,2002,2458,5004,113834
271,2019,4,Entre Ríos,92981,99206,12875,18561,15407,239030
272,2019,4,Formosa,21567,8684,1760,14531,1690,46711
273,2019,4,Jujuy,32949,37604,873,8140,16641,88881
274,2019,4,La Pampa,15457,56854,4942,11341,1805,90399
275,2019,4,La Rioja,13738,34984,0,2510,290,49002
276,2019,4,Mendoza,96678,49711,24989,13672,7300,185780
277,2019,4,Misiones,53116,69676,847,4410,11733,135813
278,2019,4,Neuquén,29826,60970,10549,14246,8540,116445
279,2019,4,Río Negro,49747,37933,9658,11437,18365,127140
280,2019,4,Salta,63272,76062,21865,304,8206,172445
281,2019,4,San Juan,41360,6338,4931,7241,5104,64974
282,2019,4,San Luis,8569,8027,6,55266,36333,108201
283,2019,4,Santa Cruz,13264,15899,1036,68,2371,39370
284,2019,4,Santa Fe,312072,382254,27464,26978,20401,769169
285,2019,4,Santiago Del Estero,24682,71239,200,281,4657,103588
286,2019,4,Tierra Del Fuego,13261,26821,0,0,3100,40392
287,2019,4,Tucumán,146985,11012,39574,7250,3480,198644
288,2019,3,Buenos Aires,1277249,2144956,425386,85572,2707,3960233
289,2019,3,Capital Federal,300288,1080973,24900,3895,31155,1441211
290,2019,3,Catamarca,24349,5543,13,2440,2251,32400
291,2019,3,Chaco,50416,49156,8063,5224,1592,114451
292,2019,3,Chubut,37298,27090,1917,15149,7551,89005
293,2019,3,Córdoba,307780,399231,30064,37277,8701,783053
294,2019,3,Corrientes,53344,50230,1888,2458,4839,112759
295,2019,3,Entre Ríos,94947,96305,12888,1853,15432,238102
296,2019,3,Formosa,21777,8359,1476,14292,1620,46066
297,2019,3,Jujuy,33110,35742,274,8120,16638,86576
298,2019,3,La Pampa,19469,52941,4994,11462,1962,90828
299,2019,3,La Rioja,14390,34984,11,2510,410,49677
300,2019,3,Mendoza,148640,54312,6865,12975,1545,224337
301,2019,3,Misiones,54493,65872,829,4190,1227,133883
302,2019,3,Neuquén,43347,60484,5560,13512,2518,125421
303,2019,3,Río Negro,67478,37425,9739,10806,18847,144295
304,2019,3,Salta,65799,74329,733,158,9394,151835
305,2019,3,San Juan,51670,7425,1227,7241,5535,73098
306,2019,3,San Luis,13037,10561,350,62286,36466,122700
307,2019,3,Santa Cruz,10663,17056,969,6544,2738,37970
308,2019,3,Santa Fe,319396,377171,18690,24269,21408,760934
309,2019,3,Santiago Del Estero,24556,71198,219,2759,344,133132
310,2019,3,Tierra Del Fuego,19790,26659,651,0,1487,48587
311,2019,3,Tucumán,150918,12089,116,6840,3240,164131
312,2019,2,Buenos Aires,1284658,2079900,382971,7524,32929,3855698
313,2019,2,Capital Federal,309937,1061358,36082,3962,4281,1415620
314,2019,2,Catamarca,25682,5543,13,1460,2251,33635
315,2019,2,Chaco,50765,47448,4203,4727,1591,108734
316,2019,2,Chubut,37313,26338,1917,14443,7545,87556
317,2019,2,Córdoba,314768,388254,23023,33847,15236,775128
318,2019,2,Corrientes,53835,47431,1701,2444,6138,111549
319,2019,2,Entre Ríos,97081,91081,12764,17369,17529,235824
320,2019,2,Formosa,21916,8686,1382,14292,1620,46438
321,2019,2,Jujuy,33022,30742,274,8120,21857,86707
322,2019,2,La Pampa,19471,52101,4840,10789,3004,90205
323,2019,2,La Rioja,15014,34984,11,2510,410,50301
324,2019,2,Mendoza,148673,54027,6865,12748,1544,223857
325,2019,2,Misiones,55373,64272,543,4210,12269,132878
326,2019,2,Neuquén,43420,59021,4983,12792,2737,122953
327,2019,2,Río Negro,67841,36527,4037,10485,19657,138547
328,2019,2,Salta,68827,62343,725,121,9463,142568
329,2019,2,San Juan,51680,7425,1174,287,6876,70025
330,2019,2,San Luis,11130,10298,347,57242,38368,117385
331,2019,2,Santa Cruz,10665,10257,379,6514,2735,30550
332,2019,2,Santa Fe,325420,355140,18236,2198,22708,743484
333,2019,2,Santiago Del Estero,24393,64783,219,2759,346,126754
334,2019,2,Tierra Del Fuego,19790,25527,651,0,1486,47454
335,2019,2,Tucumán,153121,12089,116,6840,3210,166331
336,2019,1,Buenos Aires,1304507,2020730,336362,64867,20201,3746667
337,2019,1,Capital Federal,328246,1030814,32281,3978,4281,1399600
338,2019,1,Catamarca,26912,4443,16,0,2251,33622
339,2019,1,Chaco,53409,43555,1951,3628,1134,103677
340,2019,1,Chubut,37302,23065,1923,14443,3045,79778
341,2019,1,Córdoba,323272,363959,19902,24615,12367,744115
342,2019,1,Corrientes,55842,43444,1615,1528,580,102487
343,2019,1,Entre Ríos,100999,90253,12723,16231,12241,232447
344,2019,1,Formosa,22570,7878,940,13761,620,45211
345,2019,1,Jujuy,33248,12484,153,6400,43622,90147
346,2019,1,La Pampa,18832,57373,2891,9023,1041,89160
347,2019,1,La Rioja,16367,34984,12,2520,410,51656
348,2019,1,Mendoza,148524,40205,5662,10363,1544,206298
349,2019,1,Misiones,54898,59214,465,4260,7717,122720
350,2019,1,Neuquén,40747,55634,3114,1251,2372,114377
351,2019,1,Río Negro,68377,34124,3994,9736,4857,121088
352,2019,1,Salta,74426,57933,647,1135,1879,136020
353,2019,1,San Juan,51660,5838,808,2932,1207,62445
354,2019,1,San Luis,11108,7784,378,53097,23968,96335
355,2019,1,Santa Cruz,10659,4615,382,6514,2735,24905
356,2019,1,Santa Fe,340038,340344,15621,23215,1786,737078
357,2019,1,Santiago Del Estero,25337,61547,23,2847,990,89853
358,2019,1,Tierra Del Fuego,19789,23549,1623,0,1486,46447
359,2019,1,Tucumán,159215,11670,118,6780,3210,172002
360,2018,4,Buenos Aires,1305576,1949637,296102,65477,19814,3636606
361,2018,4,Capital Federal,328253,1019490,33042,3978,4257,1389020
362,2018,4,Catamarca,26912,4443,16,0,2212,33583
363,2018,4,Chaco,53409,43555,1940,3236,113,103270
364,2018,4,Chubut,37215,23065,952,14443,3047,78722
365,2018,4,Córdoba,328854,355716,17675,21851,13243,737339
366,2018,4,Corrientes,55842,42418,796,1515,300,100601
367,2018,4,Entre Ríos,101168,86198,4853,15472,14356,222047
368,2018,4,Formosa,22619,7880,887,13761,570,45204
369,2018,4,Jujuy,33248,12484,153,6400,43608,90133
370,2018,4,La Pampa,18832,55337,2685,7772,101,85636
371,2018,4,La Rioja,16367,34984,12,2520,360,51651
372,2018,4,Mendoza,148524,40205,5665,10363,1547,206304
373,2018,4,Misiones,55500,53673,465,4260,6209,116273
374,2018,4,Neuquén,40747,55634,3115,12425,2444,114365
375,2018,4,Río Negro,68377,34292,1299,8037,4832,116837
376,2018,4,Salta,74295,57539,638,2530,1853,134578
377,2018,4,San Juan,51660,5838,806,2883,1211,62398
378,2018,4,San Luis,11108,7784,378,53097,23964,96331
379,2018,4,Santa Cruz,10659,4615,382,6378,2734,24768
380,2018,4,Santa Fe,335519,322782,14387,18705,28997,720390
381,2018,4,Santiago Del Estero,25339,61243,23,2649,810,89335
382,2018,4,Tierra Del Fuego,19789,23349,1623,0,1499,46260
383,2018,4,Tucumán,159215,11670,119,6860,3140,172004
384,2018,3,Buenos Aires,1435856,1929273,156382,62318,26448,3610277
385,2018,3,Capital Federal,334353,1009252,35694,3872,9319,1392490
386,2018,3,Catamarca,27553,4443,15,10,2214,34226
387,2018,3,Chaco,53927,42359,1990,2628,1129,102033
388,2018,3,Chubut,58887,23065,1239,13817,6728,103736
389,2018,3,Córdoba,337620,342401,15785,19213,10839,725858
390,2018,3,Corrientes,56444,41300,212,1468,320,99456
391,2018,3,Entre Ríos,103318,83714,2403,15093,800,204608
392,2018,3,Formosa,22777,7589,817,13625,570,44865
393,2018,3,Jujuy,33363,10856,32,6410,430,44935
394,2018,3,La Pampa,12415,54574,8437,7011,9870,83424
395,2018,3,La Rioja,16587,34984,13,2530,350,51872
396,2018,3,Mendoza,151033,40205,5744,8195,1852,207029
397,2018,3,Misiones,56290,50793,512,3910,560,108042
398,2018,3,Neuquén,46602,54129,998,12277,2712,116718
399,2018,3,Río Negro,68590,33474,1252,5051,5125,113492
