,Año,Trimestre,Provincia,Accesos por cada 100 hogares
542,2017,1,Neuquén,61
543,2017,1,Río Negro,46
544,2017,1,Salta,33
545,2017,1,San Juan,27
546,2017,1,San Luis,10
547,2017,1,Santa Cruz,27
548,2017,1,Santa Fe,52
549,2017,1,Santiago Del Estero,15
550,2017,1,Tierra Del Fuego,69
551,2017,1,Tucumán,38
552,2016,4,Buenos Aires,61
553,2016,4,Capital Federal,121
554,2016,4,Catamarca,27
555,2016,4,Chaco,29
556,2016,4,Chubut,36
557,2016,4,Córdoba,58
558,2016,4,Corrientes,31
559,2016,4,Entre Ríos,45
560,2016,4,Formosa,20
561,2016,4,Jujuy,23
562,2016,4,La Pampa,63
563,2016,4,La Rioja,16
564,2016,4,Mendoza,32
565,2016,4,Misiones,30
566,2016,4,Neuquén,61
567,2016,4,Río Negro,46
568,2016,4,Salta,33
569,2016,4,San Juan,27
570,2016,4,San Luis,10
571,2016,4,Santa Cruz,27
572,2016,4,Santa Fe,52
573,2016,4,Santiago Del Estero,15
574,2016,4,Tierra Del Fuego,70
575,2016,4,Tucumán,38
576,2016,3,Buenos Aires,60
577,2016,3,Capital Federal,121
578,2016,3,Catamarca,26
579,2016,3,Chaco,29
580,2016,3,Chubut,36
581,2016,3,Córdoba,58
582,2016,3,Corrientes,31
583,2016,3,Entre Ríos,45
584,2016,3,Formosa,19
585,2016,3,Jujuy,23
586,2016,3,La Pampa,62
587,2016,3,La Rioja,17
588,2016,3,Mendoza,32
589,2016,3,Misiones,30
590,2016,3,Neuquén,60
591,2016,3,Río Negro,46
592,2016,3,Salta,33
593,2016,3,San Juan,27
594,2016,3,San Luis,10
595,2016,3,Santa Cruz,27
596,2016,3,Santa Fe,53
597,2016,3,Santiago Del Estero,15
598,2016,3,Tierra Del Fuego,69
599,2016,3,Tucumán,38
600,2016,2,Buenos Aires,59
601,2016,2,Capital Federal,120
602,2016,2,Catamarca,26
603,2016,2,Chaco,29
604,2016,2,Chubut,36
605,2016,2,Córdoba,58
606,2016,2,Corrientes,31
607,2016,2,Entre Ríos,45
608,2016,2,Formosa,19
609,2016,2,Jujuy,22
610,2016,2,La Pampa,60
611,2016,2,La Rioja,17
612,2016,2,Mendoza,32
613,2016,2,Misiones,29
614,2016,2,Neuquén,59
615,2016,2,Río Negro,46
616,2016,2,Salta,32
617,2016,2,San Juan,27
618,2016,2,San Luis,10
619,2016,2,Santa Cruz,27
620,2016,2,Santa Fe,52
621,2016,2,Santiago Del Estero,16
622,2016,2,Tierra Del Fuego,68
623,2016,2,Tucumán,37
624,2016,1,Buenos Aires,57
625,2016,1,Capital Federal,115
626,2016,1,Catamarca,26
627,2016,1,Chaco,28
628,2016,1,Chubut,36
629,2016,1,Córdoba,55
630,2016,1,Corrientes,30
631,2016,1,Entre Ríos,44
632,2016,1,Formosa,19
633,2016,1,Jujuy,21
634,2016,1,La Pampa,58
635,2016,1,La Rioja,17
636,2016,1,Mendoza,32
637,2016,1,Misiones,28
638,2016,1,Neuquén,56
639,2016,1,Río Negro,46
640,2016,1,Salta,31
641,2016,1,San Juan,27
642,2016,1,San Luis,10
643,2016,1,Santa Cruz,27
644,2016,1,Santa Fe,51
645,2016,1,Santiago Del Estero,16
646,2016,1,Tierra Del Fuego,66
647,2016,1,Tucumán,37
648,2015,4,Buenos Aires,58
649,2015,4,Capital Federal,118
650,2015,4,Catamarca,26
651,2015,4,Chaco,28
652,2015,4,Chubut,37
653,2015,4,Córdoba,57
654,2015,4,Corrientes,30
655,2015,4,Entre Ríos,44
656,2015,4,Formosa,19
657,2015,4,Jujuy,21
658,2015,4,La Pampa,59
659,2015,4,La Rioja,17
660,2015,4,Mendoza,32
661,2015,4,Misiones,29
662,2015,4,Neuquén,58
663,2015,4,Río Negro,46
664,2015,4,Salta,32
665,2015,4,San Juan,28
666,2015,4,San Luis,10
667,2015,4,Santa Cruz,28
668,2015,4,Santa Fe,53
669,2015,4,Santiago Del Estero,17
670,2015,4,Tierra Del Fuego,66
671,2015,4,Tucumán,37
672,2015,3,Buenos Aires,58
673,2015,3,Capital Federal,118
674,2015,3,Catamarca,26
675,2015,3,Chaco,28
676,2015,3,Chubut,37
677,2015,3,Córdoba,57
678,2015,3,Corrientes,30
679,2015,3,Entre Ríos,44
680,2015,3,Formosa,19
681,2015,3,Jujuy,21
682,2015,3,La Pampa,58
683,2015,3,La Rioja,17
684,2015,3,Mendoza,32
685,2015,3,Misiones,28
686,2015,3,Neuquén,55
687,2015,3,Río Negro,46
688,2015,3,Salta,31
689,2015,3,San Juan,28
690,2015,3,San Luis,10
691,2015,3,Santa Cruz,28
692,2015,3,Santa Fe,52
693,2015,3,Santiago Del Estero,17
694,2015,3,Tierra Del Fuego,75
695,2015,3,Tucumán,37
696,2015,2,Buenos Aires,57
697,2015,2,Capital Federal,116
698,2015,2,Catamarca,25
699,2015,2,Chaco,27
700,2015,2,Chubut,37
701,2015,2,Córdoba,56
702,2015,2,Corrientes,30
703,2015,2,Entre Ríos,43
704,2015,2,Formosa,18
705,2015,2,Jujuy,20
706,2015,2,La Pampa,57
707,2015,2,La Rioja,17
708,2015,2,Mendoza,32
709,2015,2,Misiones,27
710,2015,2,Neuquén,53
711,2015,2,Río Negro,46
712,2015,2,Salta,30
713,2015,2,San Juan,28
714,2015,2,San Luis,10
715,2015,2,Santa Cruz,27
716,2015,2,Santa Fe,51
717,2015,2,Santiago Del Estero,17
718,2015,2,Tierra Del Fuego,75
719,2015,2,Tucumán,36
720,2015,1,Buenos Aires,56
721,2015,1,Capital Federal,115
722,2015,1,Catamarca,25
723,2015,1,Chaco,27
724,2015,1,Chubut,38
725,2015,1,Córdoba,55
726,2015,1,Corrientes,29
727,2015,1,Entre Ríos,42
728,2015,1,Formosa,18
729,2015,1,Jujuy,20
730,2015,1,La Pampa,56
731,2015,1,La Rioja,17
732,2015,1,Mendoza,32
733,2015,1,Misiones,26
734,2015,1,Neuquén,52
735,2015,1,Río Negro,45
736,2015,1,Salta,30
737,2015,1,San Juan,28
738,2015,1,San Luis,10
739,2015,1,Santa Cruz,28
740,2015,1,Santa Fe,50
741,2015,1,Santiago Del Estero,17
742,2015,1,Tierra Del Fuego,74
743,2015,1,Tucumán,35
744,2014,4,Buenos Aires,56
745,2014,4,Capital Federal,115
746,2014,4,Catamarca,26
747,2014,4,Chaco,22
748,2014,4,Chubut,40
749,2014,4,Córdoba,55
750,2014,4,Corrientes,24
751,2014,4,Entre Ríos,36
752,2014,4,Formosa,18
753,2014,4,Jujuy,20
754,2014,4,La Pampa,51
755,2014,4,La Rioja,17
756,2014,4,Mendoza,33
757,2014,4,Misiones,24
758,2014,4,Neuquén,53
759,2014,4,Río Negro,45
760,2014,4,Salta,30
761,2014,4,San Juan,28
762,2014,4,San Luis,10
763,2014,4,Santa Cruz,28
764,2014,4,Santa Fe,50
765,2014,4,Santiago Del Estero,17
766,2014,4,Tierra Del Fuego,66
767,2014,4,Tucumán,35
768,2014,3,Buenos Aires,57
769,2014,3,Capital Federal,114
770,2014,3,Catamarca,25
771,2014,3,Chaco,21
772,2014,3,Chubut,41
773,2014,3,Córdoba,54
774,2014,3,Corrientes,23
775,2014,3,Entre Ríos,35
776,2014,3,Formosa,18
777,2014,3,Jujuy,18
778,2014,3,La Pampa,56
779,2014,3,La Rioja,17
